X_mm,Y_mm,Mean_Delta,Abs_Delta,Std_Delta,Count
94.559,62.376,-25.295,25.295,3.122,8.0
-94.005,94.92,-24.796,24.796,3.2,8.0
94.559,-94.92,-24.479,24.479,3.518,8.0
-55.183,-94.92,-24.946,24.946,3.695,8.0
72.375,-2.712,-25.012,25.012,3.742,8.0
72.375,-67.8,-25.499,25.499,3.81,8.0
55.737,-132.888,-44.026,44.026,3.912,8.0
-16.361,56.952,-25.963,25.963,3.92,8.0
-55.183,94.92,-25.654,25.654,4.023,8.0
0.277,-132.888,-26.134,26.134,4.095,8.0
