WaferID,BTM_X_mm,BTM_Y_mm,BTM_Thickness,DMT_X_mm,DMT_Y_mm,DMT_Thickness,Distance_mm,Thickness_Delta,BTM_File,DMT_File
AANBD160TEG6,-96.5,96.5,3347.0,-96.0,96.0,3328.109,0.7071067811865476,18.891000000000076,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD160TEG6,96.5,-96.5,3345.0,96.0,-96.0,3325.734,0.7071067811865476,19.266000000000076,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD160TEG6,136.2,19.3,3346.0,135.0,18.0,3325.523,1.769180601295406,20.47699999999986,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD160TEG6,71.2,127.4,3345.0,72.0,126.0,3324.679,1.6124515496597134,20.320999999999913,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD160TEG6,141.9,-35.9,3346.0,141.0,-36.0,3328.214,0.9055385138137475,17.786000000000058,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD160TEG6,-136.2,-57.9,3369.0,-135.0,-57.0,3323.637,1.49999999999999,45.36299999999983,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD160TEG6,-136.2,57.9,3368.0,-135.0,57.0,3327.326,1.49999999999999,40.67399999999998,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD160TEG6,-57.9,-136.2,3367.0,-57.0,-135.0,3329.739,1.49999999999999,37.26099999999997,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD160TEG6,-57.9,136.2,3366.0,-57.0,135.0,3329.083,1.49999999999999,36.916999999999916,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD160TEG6,57.9,-136.2,3366.0,57.0,-135.0,3329.979,1.49999999999999,36.021000000000186,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD182TEC1,0.0,-3.6,3371.0,0.0,0.0,3351.246,3.6,19.753999999999905,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD182TEC1,19.3,-19.3,3378.0,18.0,-21.0,3354.199,2.1400934559032696,23.80099999999993,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD182TEC1,19.3,19.3,3379.0,18.0,18.0,3354.162,1.8384776310850246,24.838000000000193,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD182TEC1,-47.5,-36.4,3378.0,-48.0,-36.0,3355.29,0.640312423743284,22.710000000000036,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD182TEC1,-57.9,19.3,3375.0,-57.0,18.0,3352.063,1.5811388300841893,22.936999999999898,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD182TEC1,-19.3,-57.9,3378.0,-18.0,-57.0,3353.003,1.5811388300841893,24.996999999999844,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD182TEC1,-19.3,57.9,3376.0,-18.0,57.0,3353.115,1.5811388300841893,22.88500000000022,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD182TEC1,71.2,-3.6,3371.0,72.0,-3.0,3349.966,0.9999999999999978,21.034000000000106,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD182TEC1,57.9,57.9,3370.0,57.0,57.0,3348.515,1.2727922061357835,21.485000000000127,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD182TEC1,-71.2,61.9,3369.0,-72.0,63.0,3348.265,1.3601470508735438,20.735000000000127,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD182TEC1,19.3,-96.5,3372.0,18.0,-96.0,3351.301,1.3928388277184127,20.69900000000007,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD182TEC1,19.3,96.5,3369.0,18.0,96.0,3347.985,1.3928388277184127,21.014999999999873,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD182TEC1,96.5,19.3,3369.0,96.0,18.0,3346.916,1.3928388277184127,22.083999999999833,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD182TEC1,71.2,-69.2,3372.0,72.0,-69.0,3350.829,0.82462112512353,21.17099999999982,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD182TEC1,-96.5,-57.9,3367.0,-96.0,-57.0,3346.847,1.0295630140986987,20.152999999999793,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD182TEC1,-57.9,-96.5,3370.0,-57.0,-96.0,3350.247,1.0295630140986987,19.753000000000156,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD182TEC1,-57.9,96.5,3365.0,-57.0,96.0,3346.248,1.0295630140986987,18.751999999999953,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD182TEC1,94.9,61.8,3366.0,96.0,63.0,3345.807,1.6278820596099688,20.19300000000021,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD182TEC1,-118.6,-3.6,3364.0,-120.0,-3.0,3344.528,1.523154621172787,19.472000000000207,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD182TEC1,0.0,127.4,3357.0,0.0,126.0,3341.343,1.4000000000000057,15.657000000000153,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD182TEC1,0.0,-134.7,3359.0,0.0,-135.0,3341.226,0.30000000000001137,17.773999999999887,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD182TEC1,-96.5,96.5,3353.0,-96.0,96.0,3339.61,0.7071067811865476,13.389999999999873,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD182TEC1,96.5,-96.5,3357.0,96.0,-96.0,3342.064,0.7071067811865476,14.93600000000015,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD182TEC1,136.2,19.3,3354.0,135.0,18.0,3339.648,1.769180601295406,14.351999999999862,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD182TEC1,71.2,127.4,3352.0,72.0,126.0,3335.618,1.6124515496597134,16.382000000000062,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD182TEC1,141.9,-35.9,3357.0,141.0,-36.0,3340.974,0.9055385138137475,16.02599999999984,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD182TEC1,-136.2,-57.9,3392.0,-135.0,-57.0,3340.26,1.49999999999999,51.73999999999978,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD182TEC1,-136.2,57.9,3396.0,-135.0,57.0,3338.229,1.49999999999999,57.771000000000186,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD182TEC1,-57.9,-136.2,3393.0,-57.0,-135.0,3343.409,1.49999999999999,49.590999999999894,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD182TEC1,-57.9,136.2,3392.0,-57.0,135.0,3338.446,1.49999999999999,53.55400000000009,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD182TEC1,57.9,-136.2,3394.0,57.0,-135.0,3344.179,1.49999999999999,49.82099999999991,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD252TEC4,0.0,-3.6,3398.0,0.0,0.0,3380.13,3.6,17.86999999999989,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.49.34.0629148-LCTW01516-8374-DMT115-TTG622-DMTDUMMY.xml
AANBD252TEC4,19.3,-19.3,3388.0,18.0,-21.0,3364.004,2.1400934559032696,23.996000000000095,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.49.34.0629148-LCTW01516-8374-DMT115-TTG622-DMTDUMMY.xml
AANBD252TEC4,19.3,19.3,3389.0,18.0,18.0,3364.399,1.8384776310850246,24.601000000000113,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.49.34.0629148-LCTW01516-8374-DMT115-TTG622-DMTDUMMY.xml
AANBD252TEC4,-47.5,-36.4,3383.0,-48.0,-36.0,3358.225,0.640312423743284,24.77500000000009,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.49.34.0629148-LCTW01516-8374-DMT115-TTG622-DMTDUMMY.xml
AANBD252TEC4,-57.9,19.3,3383.0,-57.0,18.0,3358.428,1.5811388300841893,24.572000000000116,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.49.34.0629148-LCTW01516-8374-DMT115-TTG622-DMTDUMMY.xml
AANBD252TEC4,-19.3,-57.9,3381.0,-18.0,-57.0,3358.709,1.5811388300841893,22.291000000000167,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.49.34.0629148-LCTW01516-8374-DMT115-TTG622-DMTDUMMY.xml
AANBD252TEC4,-19.3,57.9,3383.0,-18.0,57.0,3358.775,1.5811388300841893,24.22499999999991,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.49.34.0629148-LCTW01516-8374-DMT115-TTG622-DMTDUMMY.xml
AANBD252TEC4,71.2,-3.6,3379.0,72.0,-3.0,3356.663,0.9999999999999978,22.33699999999999,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.49.34.0629148-LCTW01516-8374-DMT115-TTG622-DMTDUMMY.xml
AANBD252TEC4,57.9,57.9,3380.0,57.0,57.0,3356.06,1.2727922061357835,23.940000000000055,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.49.34.0629148-LCTW01516-8374-DMT115-TTG622-DMTDUMMY.xml
AANBD252TEC4,-71.2,61.9,3378.0,-72.0,63.0,3355.764,1.3601470508735438,22.235999999999876,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.49.34.0629148-LCTW01516-8374-DMT115-TTG622-DMTDUMMY.xml
AANBD252TEC4,19.3,-96.5,3376.0,18.0,-96.0,3350.776,1.3928388277184127,25.22400000000016,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.49.34.0629148-LCTW01516-8374-DMT115-TTG622-DMTDUMMY.xml
AANBD252TEC4,19.3,96.5,3381.0,18.0,96.0,3357.625,1.3928388277184127,23.375,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.49.34.0629148-LCTW01516-8374-DMT115-TTG622-DMTDUMMY.xml
AANBD252TEC4,96.5,19.3,3377.0,96.0,18.0,3355.158,1.3928388277184127,21.8420000000001,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.49.34.0629148-LCTW01516-8374-DMT115-TTG622-DMTDUMMY.xml
AANBD252TEC4,71.2,-69.2,3377.0,72.0,-69.0,3352.492,0.82462112512353,24.50799999999981,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.49.34.0629148-LCTW01516-8374-DMT115-TTG622-DMTDUMMY.xml
AANBD252TEC4,-96.5,-57.9,3375.0,-96.0,-57.0,3351.133,1.0295630140986987,23.86700000000019,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.49.34.0629148-LCTW01516-8374-DMT115-TTG622-DMTDUMMY.xml
AANBD252TEC4,-57.9,-96.5,3375.0,-57.0,-96.0,3350.814,1.0295630140986987,24.18600000000015,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.49.34.0629148-LCTW01516-8374-DMT115-TTG622-DMTDUMMY.xml
AANBD252TEC4,-57.9,96.5,3377.0,-57.0,96.0,3353.109,1.0295630140986987,23.891000000000076,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.49.34.0629148-LCTW01516-8374-DMT115-TTG622-DMTDUMMY.xml
AANBD252TEC4,94.9,61.8,3376.0,96.0,63.0,3352.814,1.6278820596099688,23.18600000000015,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.49.34.0629148-LCTW01516-8374-DMT115-TTG622-DMTDUMMY.xml
AANBD252TEC4,-118.6,-3.6,3373.0,-120.0,-3.0,3348.65,1.523154621172787,24.34999999999991,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.49.34.0629148-LCTW01516-8374-DMT115-TTG622-DMTDUMMY.xml
AANBD252TEC4,0.0,127.4,3375.0,0.0,126.0,3349.431,1.4000000000000057,25.56899999999996,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.49.34.0629148-LCTW01516-8374-DMT115-TTG622-DMTDUMMY.xml
AANBD252TEC4,0.0,-134.7,3367.0,0.0,-135.0,3344.452,0.30000000000001137,22.547999999999774,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.49.34.0629148-LCTW01516-8374-DMT115-TTG622-DMTDUMMY.xml
AANBD252TEC4,-96.5,96.5,3369.0,-96.0,96.0,3345.748,0.7071067811865476,23.251999999999953,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.49.34.0629148-LCTW01516-8374-DMT115-TTG622-DMTDUMMY.xml
AANBD252TEC4,96.5,-96.5,3368.0,96.0,-96.0,3344.354,0.7071067811865476,23.646000000000186,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.49.34.0629148-LCTW01516-8374-DMT115-TTG622-DMTDUMMY.xml
AANBD252TEC4,136.2,19.3,3369.0,135.0,18.0,3344.437,1.769180601295406,24.563000000000102,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.49.34.0629148-LCTW01516-8374-DMT115-TTG622-DMTDUMMY.xml
AANBD252TEC4,71.2,127.4,3368.0,72.0,126.0,3342.863,1.6124515496597134,25.13700000000017,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.49.34.0629148-LCTW01516-8374-DMT115-TTG622-DMTDUMMY.xml
AANBD252TEC4,141.9,-35.9,3366.0,141.0,-36.0,3340.743,0.9055385138137475,25.257000000000062,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.49.34.0629148-LCTW01516-8374-DMT115-TTG622-DMTDUMMY.xml
