WaferID, Point No , Film Thickness , Fit Rate , X[mm] , Y[mm] 
AANBD160TEG6,13,3333,990,96.5,19.3
AANBD160TEG6,14,3332,988,71.2,-69.2
AANBD160TEG6,15,3331,987,-96.5,-57.9
AANBD160TEG6,16,3330,987,-57.9,-96.5
AANBD160TEG6,17,3332,989,-57.9,96.5
AANBD160TEG6,18,3332,990,94.9,61.8
AANBD160TEG6,19,3330,987,-118.6,-3.6
AANBD160TEG6,20,3329,990,0,127.4
AANBD160TEG6,21,3323,987,0,-134.7
AANBD160TEG6,22,3326,989,-96.5,96.5
AANBD160TEG6,23,3324,987,96.5,-96.5
AANBD160TEG6,24,3325,990,136.2,19.3
AANBD160TEG6,25,3324,991,71.2,127.4
AANBD160TEG6,26,3325,989,141.9,-35.9
AANBD160TEG6,27,3348,989,-136.2,-57.9
AANBD160TEG6,28,3347,990,-136.2,57.9
AANBD160TEG6,29,3346,990,-57.9,-136.2
AANBD160TEG6,30,3345,992,-57.9,136.2
AANBD160TEG6,31,3345,989,57.9,-136.2
AANBD160TEG6,32,3344,992,136.2,57.9
AANBD204TED2,1,3378,992,0,-3.6
AANBD204TED2,2,3369,990,19.3,-19.3
AANBD204TED2,3,3371,992,19.3,19.3
AANBD204TED2,4,3361,989,-47.5,-36.4
AANBD204TED2,5,3363,990,-57.9,19.3
AANBD204TED2,6,3361,990,-19.3,-57.9
AANBD204TED2,7,3362,992,-19.3,57.9
AANBD204TED2,8,3359,991,71.2,-3.6
AANBD204TED2,9,3358,992,57.9,57.9
AANBD204TED2,10,3357,990,-71.2,61.9
AANBD204TED2,11,3357,988,19.3,-96.5
AANBD204TED2,12,3360,991,19.3,96.5
AANBD204TED2,13,3358,991,96.5,19.3
AANBD204TED2,14,3357,989,71.2,-69.2
AANBD204TED2,15,3355,988,-96.5,-57.9
AANBD204TED2,16,3354,988,-57.9,-96.5
AANBD204TED2,17,3356,991,-57.9,96.5
AANBD204TED2,18,3356,991,94.9,61.8
AANBD204TED2,19,3354,988,-118.6,-3.6
AANBD204TED2,20,3355,992,0,127.4
AANBD204TED2,21,3347,988,0,-134.7
AANBD204TED2,22,3350,991,-96.5,96.5
AANBD204TED2,23,3348,988,96.5,-96.5
AANBD204TED2,24,3349,991,136.2,19.3
AANBD204TED2,25,3350,992,71.2,127.4
AANBD204TED2,26,3348,991,141.9,-35.9
AANBD204TED2,27,3365,990,-136.2,-57.9
AANBD204TED2,28,3366,990,-136.2,57.9
AANBD204TED2,29,3364,991,-57.9,-136.2
AANBD204TED2,30,3366,993,-57.9,136.2
AANBD204TED2,31,3366,990,57.9,-136.2
AANBD204TED2,32,3367,994,136.2,57.9
AANBD183TEG3,1,3375,992,0,-3.6
AANBD183TEG3,2,3369,991,19.3,-19.3
AANBD183TEG3,3,3373,992,19.3,19.3
AANBD183TEG3,4,3365,991,-47.5,-36.4
AANBD183TEG3,5,3367,991,-57.9,19.3
AANBD183TEG3,6,3364,991,-19.3,-57.9
AANBD183TEG3,7,3366,993,-19.3,57.9
AANBD183TEG3,8,3361,992,71.2,-3.6
AANBD183TEG3,9,3362,992,57.9,57.9
AANBD183TEG3,10,3361,991,-71.2,61.9
AANBD183TEG3,11,3357,989,19.3,-96.5
AANBD183TEG3,12,3361,992,19.3,96.5
AANBD183TEG3,13,3359,991,96.5,19.3
AANBD183TEG3,14,3357,989,71.2,-69.2
AANBD183TEG3,15,3357,989,-96.5,-57.9
